DNS Performance Testing Tool
Nominum Version 2.0.0.0

[Status] Command line: dnsperf -s 192.168.1.253 -d ../test/test_1001 -n 1 -Q 100 -vD
[Status] Sending queries (to 192.168.1.253)
[Status] Started at: Wed Sep 30 22:27:49 2015
[Status] Stopping after 1 run through file
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af469515f8b8._getpgpkey.example.com CERT 0.001616
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af469516745b._getpgpkey.example.com CERT 0.000401
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af46951480f5._getpgpkey.example.com CERT 0.000387
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af4695104dbb._getpgpkey.example.com CERT 0.000395
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af46951d346e._getpgpkey.example.com CERT 0.000347
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af4695164e5a._getpgpkey.example.com CERT 0.000778
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af46951cc310._getpgpkey.example.com CERT 0.000365
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af469515ad39._getpgpkey.example.com CERT 0.000366
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af46951abce5._getpgpkey.example.com CERT 0.000390
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af469518908c._getpgpkey.example.com CERT 0.000359
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af46951f9ab6._getpgpkey.example.com CERT 0.000378
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af46951d1bed._getpgpkey.example.com CERT 0.000373
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af469514742d._getpgpkey.example.com CERT 0.000338
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af469512744f._getpgpkey.example.com CERT 0.000370
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af46951aa8ba._getpgpkey.example.com CERT 0.000354
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af4695199f79._getpgpkey.example.com CERT 0.000403
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af469515e006._getpgpkey.example.com CERT 0.000363
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af4695146cda._getpgpkey.example.com CERT 0.000345
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af46951ecaa0._getpgpkey.example.com CERT 0.000396
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af469517ffe9._getpgpkey.example.com CERT 0.000375
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af46951f3499._getpgpkey.example.com CERT 0.000381
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af4695174e31._getpgpkey.example.com CERT 0.000369
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af46951e7f74._getpgpkey.example.com CERT 0.000368
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af4695103b41._getpgpkey.example.com CERT 0.000379
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af46951a0fd7._getpgpkey.example.com CERT 0.000360
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af469516c4eb._getpgpkey.example.com CERT 0.000378
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af469515fad8._getpgpkey.example.com CERT 0.000373
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af46951fd464._getpgpkey.example.com CERT 0.000321
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af46951ac9bb._getpgpkey.example.com CERT 0.000329
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af4695178d5b._getpgpkey.example.com CERT 0.000334
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af4695124879._getpgpkey.example.com CERT 0.000341
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af4695107b41._getpgpkey.example.com CERT 0.000301
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af46951a73d8._getpgpkey.example.com CERT 0.000307
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af4695122a1e._getpgpkey.example.com CERT 0.000321
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af4695122c2d._getpgpkey.example.com CERT 0.000294
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af46951b8f93._getpgpkey.example.com CERT 0.000330
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af46951e1159._getpgpkey.example.com CERT 0.000399
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af46951d2183._getpgpkey.example.com CERT 0.000354
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af46951d9472._getpgpkey.example.com CERT 0.000345
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af469515fa16._getpgpkey.example.com CERT 0.000308
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af469512a643._getpgpkey.example.com CERT 0.000289
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af469514cdca._getpgpkey.example.com CERT 0.000318
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af46951f9ed9._getpgpkey.example.com CERT 0.000308
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af469519bbb3._getpgpkey.example.com CERT 0.000351
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af46951b47e7._getpgpkey.example.com CERT 0.000452
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af4695168b0b._getpgpkey.example.com CERT 0.000362
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af4695148ec2._getpgpkey.example.com CERT 0.000375
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af4695138d6e._getpgpkey.example.com CERT 0.000419
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af46951b43c6._getpgpkey.example.com CERT 0.000372
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af46951c7bd5._getpgpkey.example.com CERT 0.000347
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af469517d457._getpgpkey.example.com CERT 0.000313
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af4695189a5f._getpgpkey.example.com CERT 0.000324
