DNS Performance Testing Tool
Nominum Version 2.0.0.0

[Status] Command line: dnsperf -s 192.168.1.253 -d ../test/test_1001 -n 1 -Q 900 -c 100 -vD
[Status] Sending queries (to 192.168.1.253)
[Status] Started at: Mon Oct  5 23:04:38 2015
[Status] Stopping after 1 run through file
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af46951a1151._getpgpkey.example.com CERT 0.002075
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af46951e5ca6._getpgpkey.example.com CERT 0.002232
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af46951f2cec._getpgpkey.example.com CERT 0.002566
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af46951ae37e._getpgpkey.example.com CERT 0.002125
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af469512dee7._getpgpkey.example.com CERT 0.002233
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af469514b24e._getpgpkey.example.com CERT 0.002385
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af469514263b._getpgpkey.example.com CERT 0.002539
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af4695184a13._getpgpkey.example.com CERT 0.002348
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af469511a673._getpgpkey.example.com CERT 0.002196
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af469514953c._getpgpkey.example.com CERT 0.002521
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af46951f27a3._getpgpkey.example.com CERT 0.002337
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af4695174625._getpgpkey.example.com CERT 0.002680
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af46951cbc3d._getpgpkey.example.com CERT 0.002415
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af46951943cf._getpgpkey.example.com CERT 0.002529
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af469513926b._getpgpkey.example.com CERT 0.003465
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af46951785ce._getpgpkey.example.com CERT 0.003856
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af46951e2692._getpgpkey.example.com CERT 0.003458
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af469510a56c._getpgpkey.example.com CERT 0.003726
